"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"archimate_type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-synoniemen";"GGM-synoniemen";"GEMMA-bron";"GGM-bron";"GEMMA-url";"GEMMA-alternate-name";"GEMMA-subtypes";"domein-iv3";"domein-dcat";"Datum-tijd-export"
"1";"";"";"";"EAID_47EA6A95_24DD_4ff9_BC2C_1B9BBC08C694";"";"class";"";"";"";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"2";"";"AOMMeldingWmoJeugd";"";"EAID_0FA25A4F_DF7F_4feb_9460_19D054E874F8";"";"class";"";"";"*AOMMeldingWMOJeugd* is een objecttype in het gemeentelijk gegevensmodel dat een **melding van een situatie of hulpvraag binnen het kader van de Wet maatschappelijke ondersteuning (Wmo) en/of Jeugdwet** representeert.";"";"**Toelichting:**  
In het *Model Jeugd en Wmo Generiek* komt *AOMMeldingWMOJeugd* voor als één van de kernentiteiten naast *AOM_AanvraagWmoJeugd*. Het type representeert **meldingen die cliënten (of hun vertegenwoordigers/aanmelder) doen omtrent jeugdhulp of Wmo-ondersteuning**, bijvoorbeeld signalen van behoefte aan zorg, ondersteuning of een problematische situatie. De entiteit bevat attributen zoals:  
- *aanmelder* — wie de melding doet;  
- *aanmeldingDoor* en *aanmeldingDoorLandelijk* — via welk kanaal/organisatie de melding binnenkomt;  
- *aanmeldwijze* — de manier waarop de melding is gedaan;  
- *isClientOpDeHoogte* — of de cliënt geïnformeerd is;  
- *onderzoekswijze* — hoe de melding is onderzocht;  
- *redenAfsluiting* — waarom de melding is afgesloten;  
- *vervolg* en *verwezen* — vervolgacties of doorverwijzingen.  
Deze entiteit ondersteunt de registratie van **het proces van signaleren, ontvangen en vervolgen van meldingen** binnen de jeugdhulp- en Wmo-context.";"";"";"";"";"";"";"";"6 Sociaal Domein > Generiek Jeugd en Wmo";"";"09072026-00:43:48"
"3";"";"AOMStatus";"";"EAID_FDEB42B6_5D93_46bf_9B5C_10F42BA4AC26";"";"class";"";"";"";"";"";"";"";"";"";"";"";"";"1 Veiligheid en Vergunningen";"";"09072026-00:43:48"
"4";"AOMAanvraagWMOJeugd";"AOM_AanvraagWmoJeugd";"3545eb93-e19a-4b1f-b3f2-03b79b30b200";"EAID_BE7C28C6_0922_4c6a_A953_3D598D991AB5";"business-object";"class";"";"";"*AOM_AanvraagWmoJeugd* is een objecttype in het gegevensmodel voor Wmo en Jeugd dat een **aanvraagtraject voor ondersteuning onder de Wet maatschappelijke ondersteuning (Wmo) en/of Jeugdwet** representeert.";"";"In het *Model Jeugd en Wmo Generiek* binnen het gemeentelijke gegevenslandschap beschrijft **AOM_AanvraagWmoJeugd** het proces rond een individuele **aanvraag van een cliënt** voor Wmo- en/of jeugdhulpvoorzieningen. Dit omvat gegevens zoals de startdatum van de aanvraag, de eerste afspraak, de doorlooptijd, de datum van beschikking, de reden van afsluiting en gerelateerde proces- en besluitkenmerken. Het model gebruikt dit type om aanvragen gestructureerd vast te leggen en te koppelen aan de cliënt en relevante besluiten. Het objecttype zelf heeft in de documentatie geen eigen tekstuele definitie, maar wordt vermeld als een kernentiteit binnen het domein *Wmo en Jeugd*.";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-3545eb93-e19a-4b1f-b3f2-03b79b30b200";"";"";"6 Sociaal Domein > Generiek Jeugd en Wmo";"";"09072026-00:43:48"
"5";"Aanbesteding";"Aanbesteding";"bc6f065d-05c9-454d-a18d-1c0c2a2dfe15";"EAID_44EC6082_2682_43c7_A52E_0AD05B06A046";"business-object";"class";"business-object";"Procedure waarmee de gemeente een opdracht voor werken, leveringen of diensten in de markt zet en gunt aan een ondernemer.";"Kan een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-bc6f065d-05c9-454d-a18d-1c0c2a2dfe15";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
"6";"AanbestedingInhuur";"Aanbesteding Inhuur";"686c0af1-67b2-42a4-8690-060705617c13";"EAID_01D90490_C76A_444a_BFCE_355AFC5FB012";"business-object";"class";"";"Aanbesteding voor inhuur van personen of diensten";"Aanbesteding voor inhuur van personen of diensten";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-686c0af1-67b2-42a4-8690-060705617c13";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
"7";"Aanbesteding Vastgoed";"Aanbesteding Vastgoed";"3907c387-dc68-4c15-a98c-edd640042495";"EAID_17FCEF39_AB9D_4516_9C60_1DDA61D87356";"business-object";"class";"";"Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen. Dit in het kader van werkzaamheden rondom vastgoed.";"Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen. Dit in het kader van werkzaamheden rondom vastgoed.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-3907c387-dc68-4c15-a98c-edd640042495";"";"";"9 Interne Organisatie > Vastgoed";"";"09072026-00:43:48"
"8";"";"Aanbestedingsoort";"";"EAID_B8B79BCE_8F87_46f7_BB15_288266799E56";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
"9";"";"Aandachtspunt";"";"EAID_F188F63C_0033_4164_9F73_413AE6943497";"";"class";"";"";"Een Aandachtspunt is een bijzonder aspect of omstandigheid in de persoonlijke situatie van de inburgeraar, dat extra aandacht vereist bij de begeleiding of dienstverlening in het kader van inburgering.";"";"•	Het betreft hier signalen of omstandigheden die invloed kunnen hebben op de voortgang, begeleiding of ondersteuning.
	•	In het model wordt Aandachtspunt gekoppeld aan onder meer de objecttypen Traject en Ondersteuningsactiviteit.
	•	Mogelijke voorbeelden (zie onderliggende attributen of enumeraties in het model) zijn: psychische kwetsbaarheid, verslaving, schulden, of laaggeletterdheid.";"";"";"";"";"";"";"";"6 Sociaal Domein > Inburgering";"";"09072026-00:43:48"
"10";"";"Aandachtspunt";"";"EAID_B16DEA22_40DB_45a9_ADD9_5C1410F499B8";"";"enumeration";"";"";"";"";"<memo>";"";"";"";"";"";"";"";"6 Sociaal Domein > Inburgering";"";"09072026-00:43:48"
