"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-source-guid";"GGM-source-guid";"GEMMA-target-guid";"GGM-target-guid";"Datum-tijd-export"
"1";"";"";"68ea0039-4e39-431e-af6b-eac3c6337736";"EAID_29CBC16D_7D9B_469a_8641_EC4ABE5C3795";"association-relationship";"association";"";"";"";"";"ea768404-3043-48bc-b0dc-143abc8806d6";"EAID_257F4ABF_7CCD_453f_B2E8_5A6434383A9B";"ccf78bc5-8d4a-440f-a642-abcf60149628";"EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D";"09072026-00:43:48"
"2";"";"";"";"EAID_5077B808_045A_4c39_8368_5EF557975018";"association-relationship";"association";"";"";"";"";"";"EAID_ED0D0224_0A30_435b_AB25_87FDA8DF4078";"";"EAID_ED0D0224_0A30_435b_AB25_87FDA8DF4078";"09072026-00:43:48"
"3";"";"";"2aed5c8c-3c0a-4979-8796-11e606a43fca";"EAID_46AF6669_9D59_4e76_8C80_708A791D9650";"association-relationship";"association";"";"";"";"";"1486de79-ad71-4dce-8473-f23f1e9c436c";"EAID_FF448272_AB9D_4ec9_B4BE_E60E2552817A";"c5e5f4f9-5bb6-4a9f-816b-e41abc770e86";"EAID_CA19D17F_3EB7_459d_9883_16F0C0B5D35E";"09072026-00:43:48"
"4";"";"";"";"EAID_0CECB460_6E7D_4fbd_A2F6_8163465F555E";"association-relationship";"association";"";"";"";"";"";"EAID_EAE2ABE3_531A_416e_A614_AD288E635512";"";"EAID_5E685C97_7E21_492d_BAA7_AC7F5AE05A6D";"09072026-00:43:48"
"5";"";"";"";"EAID_8006C819_68B3_41e8_984F_ED0D0C2CBC19";"association-relationship";"association";"";"";"";"";"";"EAID_E98235C8_0A7C_4e6c_B182_4DFBF81CDAF5";"";"EAID_D1725B4A_DD7E_478f_999E_ECFD46D07B00";"09072026-00:43:48"
"6";"";"";"cfb7105c-4ed8-4864-abf6-99a565222f01";"EAID_021C5BC3_CCAE_4ea4_9B36_93810FAB81BF";"association-relationship";"association";"";"";"";"";"7be642b3-e95f-4f1a-9415-d95c38346e9f";"EAID_069C9894_5E07_4c95_AC28_EB4A5EBFD165";"600049b0-c179-4e7d-ac63-99d5ba393093";"EAID_6850BC5E_444E_4d33_A8A7_9B345502E275";"09072026-00:43:48"
"7";"";"";"8805e633-a464-4213-86ca-10b92bdad5f5";"EAID_E5350C4D_69A4_497a_AF09_7E7F03542AC6";"association-relationship";"association";"";"";"";"";"b883410b-ba90-45a0-a9f0-f16b8e1fa9ac";"EAID_F110608E_9C6A_4d66_BDCB_F4B2465E3CFD";"8d15d21d-4e39-4dcb-b9f7-be128f6b324a";"EAID_5EDE0349_8865_4b90_9A18_235C5AA660C4";"09072026-00:43:48"
"8";"";"";"";"EAID_7BD80251_560B_4bd4_8BAC_7FB003EB04DE";"association-relationship";"association";"";"";"";"";"";"EAID_F188F63C_0033_4164_9F73_413AE6943497";"";"EAID_0279048D_E742_400c_9D86_03085E5EF917";"09072026-00:43:48"
"9";"";"";"";"EAID_CD062567_4976_488f_A5F3_17E3EDD1B018";"association-relationship";"association";"";"";"";"";"";"EAID_AE33D54A_A105_4fac_B378_D5651B66F0F0";"";"EAID_564CEF80_C5BE_4d74_8BC7_B48BEFDEE655";"09072026-00:43:48"
"10";"";"";"";"EAID_5A3668C5_2C9F_4231_BC06_D1A69BDDA5CE";"association-relationship";"association";"";"";"";"";"17a0d019-c25e-4bba-ae64-f381da597376";"EAID_276E1BF9_E902_4303_A9E7_048627E0DC84";"id-07784236-3aa6-45e5-8253-7d088c4020b0";"EAID_07784236_3AA6_45e5_8253_7D088C4020B0";"09072026-00:43:48"
