"beleidsdomein_guid";"beleidsdomein_naam";"is_taakveld";"taakveld";"definitie";"toelichting"
"EAPK_47DC5ADA_17D7_49e1_8BC6_F798EE72B111";"0 Bestuur, Politiek en Ondersteuning";"ja";"0 Bestuur, Politiek en Ondersteuning";"Domein dat gegevens bevat die worden vastgelegd bij en voortkomen uit bestuurlijke en politieke processen en  beleidsvorming en gegevens die in het kader van de gemeentelijke taak rond burgerzaklen worden vastgelegd.";""
"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"ja";"1 Veiligheid en Vergunningen";"Het informatiedomein dat gegevens omvat over het waarborgen van veiligheid, handhaving van regels en crisisbeheersing.";""
"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"ja";"10 Dienstverlening";"Het informatiedomein dat gegevens omvat over meldingen, aanvragen, baliecontacten, telefonische afhandeling en digitale interacties die faciliterend zijn voor andere domeinen.";""
"EAPK_C048FE46_1774_4ade_A25D_6DB87794B8A7";"2 Verkeer, Vervoer en Waterstaat";"ja";"2 Verkeer, Vervoer en Waterstaat";"Het informatiedomein dat gegevens omvat over infrastructuur, mobiliteit en waterbeheer ter ondersteuning van bereikbaarheid en transportefficiëntie.";""
"EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8";"3 Economie";"ja";"3 Economie";"Het informatiedomein dat gegevens omvat over economische ontwikkeling, bedrijvigheid en innovatie.";""
"EAPK_604AC59D_D038_4e78_A5FA_80E4748DED5B";"4 Onderwijs";"ja";"4 Onderwijs";"Het informatiedomein dat gegevens omvat over onderwijsvoorzieningen, leerlingenstromen, taken in het onderwijsveld  en educatieve ondersteuning.";""
"EAPK_40A8E0F6_63CB_4ac6_B378_95CC70E4A840";"5 Sport, Cultuur en Recreatie";"ja";"5 Sport, Cultuur en Recreatie";"Het informatiedomein dat gegevens omvat over taken in het kader van erfgoed, sportieve activiteiten, culturele voorzieningen en recreatieve mogelijkheden.";""
"EAPK_B88A8152_6617_4451_B7EF_FBFB5A06159F";"6 Sociaal Domein";"ja";"6 Sociaal Domein";"Het informatiedomein dat gegevens omvat over zorg en ondersteuning welzijn en maatschappelijke participatie ter ondersteuning van individuen of groepen.";""
"EAPK_BA63AB75_03F5_44e6_8A07_377EA0F44E62";"7 Volksgezondheid en Milieu";"ja";"7 Volksgezondheid en Milieu";"Het informatiedomein dat gegevens omvat over volksgezondheid, afvalbeheer en milieubescherming.";""
"EAPK_91A0DA15_8CF6_4dc6_83E4_4A6DBE3A67AA";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"ja";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"Het informatiedomein dat gegevens omvat over huisvesting, ruimtelijke inrichting en verbetering van de leefomgeving in stedelijke of landelijke gebieden.";""
"EAPK_BB0CE95E_98B3_48ec_905F_5512A5AB221C";"9 Interne Organisatie";"ja";"9 Interne Organisatie";"Het informatiedomein dat gegevens omvat over de interne processen en ondersteunende functies die bijdragen aan het functioneren van de interne organisatie.";""
"EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97";"99 Kern";"ja";"99 Kern";"Het informatiedomein dat de fundamentele gegevensstructuren en -definities bevat, gebaseerd op de Nederlandse basisregistraties, en dat dient als fundament voor alle overige informatiedomeinen.";""
"EAPK_639DFBCF_D24B_4b32_A2A4_D6386E0EF744";"Afval";"nee";"7 Volksgezondheid en Milieu";"Het informatiedomein dat gegevens bevat over de gemeentelijke taken ten aanzien van inzameling en verwerking van bedrijfs- en huishoudelijk afval";""
"EAPK_CDBD96D1_44EA_401b_A0EF_9D235D437D17";"Archeologie";"nee";"5 Sport, Cultuur en Recreatie";"Het informatiedomein dat gegevens omvat over archeologische opgravingen, onderzoeken en besluitvorming, gericht op het behoud, de bescherming en de ontsluiting van archeologisch erfgoed binnen de kaders van de Erfgoedwet.";""
"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"nee";"5 Sport, Cultuur en Recreatie";"Het informatiedomein dat gegevens omvat over de vorming, het beheer, de toegankelijkheid en de duurzame bewaring van archieven, inclusief documenten en collecties van cultuurhistorische waarde.";""
"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"nee";"99 Kern";"Het subdomein dat gegevens omvat over adressen en gebouwen in Nederland, gebaseerd op het Informatiemodel BAG (IMBAG), waarbij uitsluitend die elementen zijn opgenomen die relevant zijn voor gemeenten en andere lagere overheden.";""
"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"nee";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"""Het informatiedomein dat gegevens omvat over:
1. De fysieke objecten in de publieke buitenruimte, inclusief hun kenmerken, locatie en conditie.
2. De processen en activiteiten gericht op het onderhouden, inrichten en beheren van deze objecten.""";""
