"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"4"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"9"
"EAID_04F5FDCC_2C4B_41a8_B5B9_D0048B089B33";"ANDER BUITENLANDS NIET-NATUURLIJK PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_AD6E225D_4EB7_4f41_8417_20125A0714D0";"ARK codes kadastrale gemeenten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"1"
"EAID_196C3C10_4FCF_4342_B4EC_B5524AAA26F8";"Aanduiding verblijfsrecht";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"5"
"EAID_156D28EA_3C4E_4849_B6FA_2BCE262950C0";"Aard aantekeningen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"1"
"EAID_211D2BB4_1BE7_4d67_91E2_436C5781FB66";"Aard zakelijke rechten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_390A4F53_19BA_4f3b_A75C_9C1CD1A8A818";"Abstracte en concrete objecttypen";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"0"
"EAID_CD2EAE6D_E85B_455e_A39A_1983BC33B772";"Abstracte en concrete objecttypen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_1279615F_663B_4c7f_BDF3_CD1DA37A87BC";"Adresseerbare Objecten";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"3"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening";"10"
"EAID_8D468696_4B9D_40b4_92F0_3BED39502098";"Archief Aanvragen";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"3"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"9"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"9"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"8"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern";"25"
"EAID_1947D48F_6D4E_4943_B313_091CF7B56117";"BEGROEID TERREINDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_515E0990_C193_43cb_8EAF_907796BD3B1F";"BENOEMD OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_DF9CEAAD_E574_40b3_970B_DC558AB579D0";"BRK";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_EA402BCD_1511_48d1_88B4_E6444A0C945A";"BUURT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_4F14E8D8_5502_4880_9E83_D912BE451EB1";"Basismodel CMDB-Items";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"18"
"EAID_A255BB0C_A1DB_43a5_88B1_C638F6E64B0B";"Basismodel CMDB-Items Diversen";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"8"
"EAID_A2831A97_91F6_4ed0_896E_3531219E69F0";"Basismodel ICT Applicatie en Gegevens";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"10"
"EAID_63323A39_82A4_4607_8A45_E4CBD1D800B0";"Bedrijfsprocessen";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"8"
"EAID_9B278A50_862A_4085_B362_C41392101916";"Beperkingen";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"5"
"EAID_0D82C835_277F_4149_A937_589ED319F370";"Beschrijving IMBOR";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"0"
"EAID_0516C81B_D5F6_4b7a_AD98_82FD3B218A6B";"Betrokkene";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"6"
"EAID_0B1C1CCE_E0D1_413d_A38B_7A9B03A21610";"Bezetting en Formatie";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"10"
"EAID_EC84A03C_FC04_401a_8263_7809B74179F8";"Brede Handhaving";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"9"
"EAID_D9511F60_3CA7_43bd_B6C8_F66447D66DBA";"Burgerzaken";"EAPK_C84D590F_615F_4671_B4C2_7610C80F33F4";"Burgerzaken";"0 Bestuur, Politiek en Ondersteuning";"3"
