"diagram_guid";"diagram_naam";"element_guid";"element_naam";"element_uml_type";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_6FB0A5B7_7B5F_437f_A462_4B1EADB964E4";"Huishouden";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_CA19D17F_3EB7_459d_9883_16F0C0B5D35E";"Ingezetene";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"Object";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_1C092D44_571B_4903_BE7C_274931EB1A80";"RSGB";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"Nummeraanduiding";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_DF81069D_CBE4_433e_AB7C_CB06170275C9";"LocatieaanduidingAdresWOZObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF";"WOZ-object";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAID_BFE30E32_8CB9_4272_A559_9FB3FD74DACC";"OpenbareRuimte";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF";"WOZ-object";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"AdresseerbaarObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAID_7CDF37D9_26D7_46a5_9CF3_392601BDCECA";"OverigGebouwdObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_38649FF6_88C6_437d_AF8E_A9023D55E16C";"Buurt";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_BFE30E32_8CB9_4272_A559_9FB3FD74DACC";"OpenbareRuimte";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
